timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-09-24,105.17,110.25,105.0,108.22,108.033405946,167743349,0.0000,1.0
2020-09-23,111.62,112.11,106.77,107.12,106.935302578,150718671,0.0000,1.0
2020-09-22,112.68,112.86,109.16,111.81,111.617216031,183055373,0.0000,1.0
2020-09-21,104.54,110.19,103.1,110.08,109.890198915,195713815,0.0000,1.0
2020-09-18,110.4,110.88,106.09,106.84,106.655785357,287104882,0.0000,1.0
2020-09-17,109.72,112.2,108.71,110.34,110.14975062,178010968,0.0000,1.0
2020-09-16,115.23,116.0,112.04,112.13,111.936664284,155026675,0.0000,1.0
2020-09-15,118.33,118.829,113.61,115.54,115.340784726,184642039,0.0000,1.0
2020-09-14,114.72,115.93,112.8,115.355,115.156103705,140150087,0.0000,1.0
2020-09-11,114.57,115.23,110.0,112.0,111.806888431,180860325,0.0000,1.0
2020-09-10,120.36,120.5,112.5,113.49,113.294319357,182274391,0.0000,1.0
2020-09-09,117.26,119.14,115.26,117.32,117.117715631,176940455,0.0000,1.0
2020-09-08,113.95,118.99,112.68,112.82,112.625474578,231366563,0.0000,1.0
2020-09-04,120.07,123.7,110.89,120.96,120.751439505,332607163,0.0000,1.0
2020-09-03,126.91,128.84,120.5,120.88,120.671577442,257599640,0.0000,1.0
2020-09-02,137.59,137.98,127.0,131.4,131.173438748,200118991,0.0000,1.0
2020-09-01,132.76,134.8,130.53,134.18,133.948645443,152470142,0.0000,1.0
2020-08-31,127.58,131.0,126.0,129.04,128.817507885,223505733,0.0000,4.0
2020-08-28,504.05,505.77,498.31,499.23,124.592305606,46907479,0.0000,1.0
2020-08-27,508.57,509.94,495.33,500.04,124.794456453,38888096,0.0000,1.0
2020-08-26,504.7165,507.97,500.33,506.09,126.304348585,40755567,0.0000,1.0
2020-08-25,498.79,500.7172,492.21,499.3,124.609775432,52873947,0.0000,1.0
2020-08-24,514.79,515.14,495.745,503.43,125.640495185,86484442,0.0000,1.0
2020-08-21,477.05,499.472,477.0,497.48,124.155559948,84513660,0.0000,1.0
2020-08-20,463.0,473.568,462.9335,473.1,118.07106901,31726797,0.0000,1.0
2020-08-19,463.933,468.65,462.44,462.83,115.507995921,36384502,0.0000,1.0
2020-08-18,457.41,464.0,456.03,462.25,115.363245931,26408385,0.0000,1.0
2020-08-17,464.25,464.35,455.8501,458.43,114.409892552,29431414,0.0000,1.0
2020-08-14,459.315,460.0,452.18,459.63,114.709375289,41391302,0.0000,1.0
2020-08-13,457.72,464.17,455.71,460.04,114.811698558,52520516,0.0000,1.0
2020-08-12,441.99,453.1,441.19,452.04,112.815146978,41486205,0.0000,1.0
2020-08-11,447.875,449.93,436.4267,437.5,109.186414483,46975594,0.0000,1.0
2020-08-10,450.4,455.1,440.0,450.91,112.533134068,53100856,0.0000,1.0
2020-08-07,452.82,454.7,441.17,444.45,110.920918668,49511403,0.8200,1.0
2020-08-06,441.62,457.65,439.19,455.61,113.496709309,50607225,0.0000,1.0
2020-08-05,437.51,441.57,435.59,440.25,109.670389749,30497988,0.0000,1.0
2020-08-04,436.53,443.16,433.55,438.66,109.274305888,43198092,0.0000,1.0
2020-08-03,432.8,446.5457,431.57,435.75,108.54939769,77037847,0.0000,1.0
2020-07-31,411.535,425.66,403.3,425.04,105.88143659,93573867,0.0000,1.0
2020-07-30,376.75,385.19,375.07,384.76,95.8473121176,39532505,0.0000,1.0
2020-07-29,375.0,380.92,374.85,380.16,94.7014091242,22582314,0.0000,1.0
2020-07-28,377.47,378.1986,372.99,373.01,92.9202772975,25906375,0.0000,1.0
2020-07-27,374.84,379.62,373.92,379.24,94.4722285255,30303548,0.0000,1.0
2020-07-24,363.95,371.88,356.58,370.46,92.2850484642,46359716,0.0000,1.0
2020-07-23,387.9935,388.31,368.039,371.38,92.5142290629,49251108,0.0000,1.0
2020-07-22,386.77,391.9,386.41,389.09,96.9259555875,22250413,0.0000,1.0
2020-07-21,396.69,397.0,386.97,388.0,96.6544263999,25627347,0.0000,1.0
